chapter,title,word_count,characters,events,source_url,parsed_at
1,1 - The Greatest Envy,2311,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-1,2026-05-27T17:08:55.526427
2,"2 - However, You Die (1)",2793,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-2,2026-05-27T17:08:55.530234
3,"3 - However, You Die (2)",2185,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-3,2026-05-27T17:08:55.533860
1,1 - The Greatest Envy,2311,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-1,2026-05-27T17:43:59.701085
2,"2 - However, You Die (1)",2793,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-2,2026-05-27T17:43:59.705477
3,"3 - However, You Die (2)",2185,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-3,2026-05-27T17:43:59.709861
4,4 - Hero Hunting (1),3441,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-4,2026-05-27T17:43:59.714360
5,5: Hero Hunting (2),2698,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-5,2026-05-27T17:43:59.718692
6,6 - Hero Hunting (3) Part 1,1496,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-6,2026-05-27T17:43:59.722343
7,6.2 - Hero Hunting (3) Part 2,931,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-7,2026-05-27T17:43:59.725758
8,7 - The Monologuing Identity(1),2236,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-8,2026-05-27T17:43:59.729522
9,8 – The Monologuing Identity(2),2648,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-9,2026-05-27T17:43:59.734350
10,9 – The Monologuing Identity(2),2152,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-10,2026-05-27T17:43:59.738309
11,10 - Solo Start,2418,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-11,2026-05-27T17:43:59.742497
12,11 – Solo Start (2),1838,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-12,2026-05-27T17:43:59.746388
13,12 – Solo Start (3),2261,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-13,2026-05-27T17:43:59.750987
14,13 – You Have a Skill Too? (1),1888,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-14,2026-05-27T17:43:59.754911
15,14 – You Have a Skill Too? (2),1900,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-15,2026-05-27T17:43:59.758743
16,15 – You Have a Skill Too? (3),2195,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-16,2026-05-27T17:43:59.762963
17,16 – Trauma Penalty (1),2196,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-17,2026-05-27T17:43:59.767715
18,17 – Trauma Penalty (2),2628,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-18,2026-05-27T17:43:59.772375
19,18 – Trauma Penalty (3),1745,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-19,2026-05-27T17:43:59.776296
20,19 -The Luxury of a Cup of Coffee (1),1986,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-20,2026-05-27T17:43:59.780778
21,20 -The Luxury of a Cup of Coffee (2),2279,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-21,2026-05-27T17:43:59.784899
22,21 -The Luxury of a Cup of Coffee (3),1853,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-22,2026-05-27T17:43:59.788767
23,"22 – Enter, Warriors! (1)",1201,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-23,2026-05-27T17:43:59.792394
24,"23 – Enter, Warriors! (2)",2343,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-24,2026-05-27T17:43:59.800267
25,"24 – Enter, Warriors! (3)",2631,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-25,2026-05-27T17:43:59.804960
26,25- The Chosen Ones (1),1935,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-26,2026-05-27T17:43:59.808939
27,26- The Chosen Ones (2),1934,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-27,2026-05-27T17:43:59.812829
28,27- The Chosen Ones (3),1130,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-28,2026-05-27T17:43:59.816921
29,28 – Fall Rain is Blood (1),1866,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-29,2026-05-27T17:43:59.820959
30,28.1 – Fall Rain is Blood (1),1952,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-30,2026-05-27T17:43:59.825029
31,29 – Fall Rain is Blood (2),3124,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-31,2026-05-27T17:43:59.830887
32,30 – Fall Rain is Blood (3),1282,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-32,2026-05-27T17:43:59.834657
33,31 – Red Sword (1),1822,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-33,2026-05-27T17:43:59.838722
34,32 – Red Sword (2),1862,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-34,2026-05-27T17:43:59.843065
35,33 – Red Sword (3),2193,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-35,2026-05-27T17:43:59.848217
36,34 – My Death Is (1),2511,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-36,2026-05-27T17:43:59.852638
37,35 – My Death Is (2),2593,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-37,2026-05-27T17:43:59.857341
38,36 – My Death Is (3),2603,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-38,2026-05-27T17:43:59.862327
39,37 – A Warrior’s Nickname,1990,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-39,2026-05-27T17:43:59.866312
40,38 – A Warrior’s Nickname (2),2069,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-40,2026-05-27T17:43:59.870991
41,39 – A Warrior’s Nickname (3),1939,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-41,2026-05-27T17:43:59.875233
42,40 – His Time (1),2024,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-42,2026-05-27T17:43:59.880190
43,41 – His Time (2),1838,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-43,2026-05-27T17:43:59.884376
44,42 – His Time (3),1736,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-44,2026-05-27T17:43:59.888442
45,43 – His Time (4),1846,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-45,2026-05-27T17:43:59.893085
46,44 – The Devil King’s Name (1),1174,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-46,2026-05-27T17:43:59.896907
